,comentario,sentimento
129,"Tenho mais boas que más recordações, fui convidado a trabalhar no D.O, se tivesse o curso de cmro e a cht eu teria uma chance de fazer seleção pro voo, conhecia o chefe dos comissários, conhecia várias pessoas de outras cias, setores,  eu era de CGH e a Avianca me deu muitos conhecimentos em vários cursos. Agradeço a Deus por tudo. Muita gente de nariz empinado, mas só saber levar.",positivo
130,"Camila, desejo melhoras ❤️‍🩹",positivo
132,Concordo!,positivo
133,Energias positivas!!,positivo
134,"Aeroporto é aérea federal...área de segurança nacional, então o agressor deveria ser encaminhado a Polícia Federal e ficar detido por crime contra a segurança nacional. Não seria exagero, pelo contrário, seria pra evitar agressão contra as pessoas que trabalham nos aeroportos.",positivo
135,Força Camila! Parabéns pela coragem de permitir publicar! Que grandeza perante o ser covarde e desmiolado que achava o contrário (que ele é que seria o corajoso).,positivo
136,❤️‍🩹❤️‍🩹,positivo
137,"FORÇA, CAMILA!!!! VC É GUERREIRA!!! 👏👏",positivo
139, 👏👏,positivo
140, verdade😢,positivo
141,"Força, querida!",positivo
143,Sim verdade .,positivo
144,Melhoras pra você Camila 💔😢,positivo
145,Meu Deus tadinha 😢,positivo
146,"Força Camila, estamos com você 😢❤️",positivo
147,Melhoras amiga 😢 !,positivo
148,"Que essa colega se recupere logo e que esse ser humano, melhore! ❤️‍🩹",positivo
149,"E Melhoras pra ti Camila , se possível pega a reserva do Pax e entra com uma ação judicial",positivo
150,Força Camila ❤️,positivo
151,Força 🙏,positivo
152,"Camila, boa recuperação!",positivo
153,Força Camila 🙏,positivo
154,"Força, Camila! estamos com você.",positivo
155,"Força, Camila! 🙌",positivo
157,Caso isolado número 57632976053… Rápida melhoras à Camila! 🙏🏻,positivo
158,Surreal! Boa recuperação! 🙏🏽,positivo
159,"Que vá em paz, na luz de Cristo😢❤️",positivo
160,Inesquecível,positivo
161,Voz icônica. Inesquecível. 😢,positivo
162,Uma lenda. Que ela descanse em paz 🙏,positivo
163,A voz mais linda dentre todos os aeroportos do mundo.,positivo
164, BEL tb tinha locução dela !?,positivo
165,"Foi a voz do Galeão, Congonhas, Guarulhos, Manaus e outros aeroportos. Inesquecível!",positivo
166,Descanse em paz!,positivo
167,Maravilhosa! Fará muita falta,positivo
168,"Achava linda aquela voz dela, chick!",positivo
169,Inigualável!😢,positivo
170,Ícone,positivo
171,Voz histórica de Congonhas também!,positivo
172,Marcante voz ❤️ Inesquecível 😢,positivo
173,A voz mais icônica da aviação brasileira! Obrigado Íris Lettieri! Bom voo para a Glória!,positivo
174,"Não só do Galeão mas também de CGH, MAO, GRU. Voz extremamente limpa e linda.",positivo
175,"Vamos fazer uma homenagem  
Ela merece ser lembrada .
Fez do Aeroporto do Galeão reconhecido no mundo todo.
Por sua voz inesquecível e inigualável.",positivo
177,Ficou top!!!👏🏼👏🏼👏🏼🚀,positivo
178,Lindo,positivo
179,Lindo demais 😍,positivo
180,Espetacular👏👏👏,positivo
181,Lindo avião,positivo
183,👏🏻👏🏻👏🏻,positivo
184,👏👏👏 top,positivo
185,Lembra um Antonov ❤️,positivo
186,❤️❤️❤️❤️❤️,positivo
187,😮,positivo
188,👏👏👏👏👏👏👏,positivo
189,😍,positivo
191,Aí sim hein ARU a GRU    ✈️,positivo
193,"Que massa ver os aviões da Embraer, em outras companhias aéreas brasileiras!!! Só falta a Gol, adquirir uns aviões, ficaria top ver a pintura da Gol, nos aviões da Embraer!!!👏🏼👏🏼👏🏼😍",positivo
196,😍😍😍😍😍,positivo
197,Todos os Embraer que viajei estão de parabéns!! Ótima escolha da Latam,positivo
198,Que notícia fantástica!!!. Agora falta a Gol .,positivo
199," não necessariamente preencher o espaço da Azul. A LATAM já vinha investindo no regional, e segundo boatos, a empresa pretende atender 75 destinos no país. Atualmente são 59 cidades.",positivo
201,Olha a Azul perdendo mais pilotos. 🤣,positivo
202,Ótima notícia 👏👏👏,positivo
204,👏🏼👏🏼👏🏼👏🏼,positivo
206,❤️,positivo
208,👏👏👏👏👏👏,positivo
209,Legal.,positivo
212,Show de bola Vey chama pai 🤩✈️,positivo
215,Parabéns LATAM 👏👏👏👏👏👏👏,positivo
217,"Óia consegui ver ele , que bonitinho ❤️",positivo
218,👏🏽👏,positivo
220," obrigado,
Amigo!",positivo
223,Se é BOEING eu Vôo 🙌❤️,positivo
224,😮😮😮😮👏👏👏,positivo
225, sucesso pra eles,positivo
226, 😂😂😂,positivo
227, tenho 2 filhas comandantes e um genro copiloto na Azul. Todos satisfeitos até agora 🙌,positivo
228,Azul 💙💙💙,positivo
229,Que maravilha! Finalmente ! Dava uma dor no coração quando passava por lá e via esse pássaro como estava !!! Parabéns aos envolvidos ! Quero ver o resultado final ! 👏,positivo
230," Saudades da Transbrasil, voei em um que tinha às asas verdes de Natal para Brasília nos anos 90 início.",positivo
232,Da hora,positivo
234,Parabéns pessoal!,positivo
235,Java Jato de verdade 👏👏👏,positivo
236,"Meu primeiro vôo que fiz em uma aeronave de fuselagem larga e justamente nesse lindão ai, que maravilhoso pode ver que vai ganhar vida nova. 😍",positivo
237,Que top!!! Temos que resgatar esssas preciosidades dos tempos de ouro da aviação brasileira 👏👏👏,positivo
238,Agora é só repintar que fica uma belezura 😍,positivo
239,"É incrível ter a oportunidade de restaurar um pedaço da história da aviação brasileira, se esse avião virar um restaurante temático eu adoraria conhecer.",positivo
240,Parece novinho de novo!! Espero que restaurem ele logo!! ,positivo
241,Transbrasil era top essa empresa,positivo
242,Fui com a essa joia de Brasília pra Flórida em 1994. Que lindo ver a revitalização de uma história importante da aviação brasileira.,positivo
243,"Trabalhei nessa companhia e tive o prazer de voar os 3 B 767 próprios , TAA , TAB e TAC .  Quero ir ver como ficou .👏👏👏",positivo
244,Imagens que trazem alegria!,positivo
245,"Uma judiaçao nosso paìs ter perdido as melhores compnhias aèreas que teve, Vasp, Transbrasil e Varig",positivo
246,Fomos a Disney em 85 em um desses !,positivo
247,👏👏👏👏👏😍,positivo
248, TAA das asas azuis… saudades do voo 304 e voltava 305 no final da tarde indo para SP fazendo escala em BSB. E a noite 176 GRU/BSB/MAO ✈️✈️✈️,positivo
253,Fui com o TAC pela primeira vez ao EUA em 4 de Julho de 1985. O asas verdes! Nunca vou me esquecer. Nunca!,positivo
254,Que maravilha!! Gesto lindo para esse 67 👏👏👏😍😍😍,positivo
255,"Viajei no TAC  umas 2 vezes, fico feliz que estejam começando a cuidar mais desse avião , não tem nenhum 767 no Brasil restaurado (aliás pouquíssimos aviões) ,espero que ele seja agora restaurado para ficar em exposição.uma atração turística com certeza para a cidade",positivo
256,Precisa dar os créditos aos heróis desse resgate.,positivo
257,Parabéns,positivo
263,Espero que dessa vez o projeto seja concluído. Parabéns pelo trabalho.,positivo
264,Eu sempre comento a mesma coisa.....mas eu acho legal o fato de ter voado nesse avião quando criança e ele ficar perto da minha casa!,positivo
265,"Nunca vou esquecer dessa aeronave, o 762 PT-TAC de asas verdes - a primeira aeronave de dois corredores que voei na minha vida aos 15 anos de idade. Assim que revitalizada pretendo ir pessoalmente rever esta aeronave tão especial pra mim 🥲",positivo
266,E vão fazedlr um local de parecido com o BRB Arena ao lado desse avião. Vai ficar um local para lazer bem toop.,positivo
269,Aí sim👏👏👏👏,positivo
270,👏🏼👏🏼👏🏼👏🏼❤️,positivo
271,Eu vi esse avião no aeroporto de Brasília em 2014. Haviam dois da Transbrasil.,positivo
274,Que maravilha!,positivo
275,Que linda iniciativa!!! Parabéns aos envolvidos o PP-TAA merece mesmo ! Assim como o PP-SMA,positivo
280,Estética nível hard. 1️⃣0️⃣👏🏻👏🏻👏🏻👏🏻👏🏻,positivo
281,😍👏👏👏,positivo
282,❤️❤️❤️✈️✈️✈️✈️🙏🙏🙏,positivo
284,"Lavou, tá novo 😂✈️",positivo
285,Coisa linda,positivo
286,😍😍👏👏,positivo
287,"👏👏👏👏👏 quê legal parabéns julia  quê vç aproveite ao maximo este presentão quê seus pais lhe deram,parabéns pai e mãe.👏👏👏",positivo
288,Que lindo❤️,positivo
289,Esse e2 é lindo slk,positivo
291,😍😍😍😍😍😍,positivo
293,Top 👊🏾😎,positivo
294,Azul 💙🩵👏😍,positivo
296,Que liiiindo ... muita emoção ♡,positivo
297,Parabéns Azul por terem participado de um voo que jamais será esquecido. Parabéns a essas duas tripulantes que fizeram parte.,positivo
298,Vale a pena conhecer onde os sonhos nos levam. Sonhar é o que nos permite deixar limitações.,positivo
299, não sou infantil mas sonhei por 49 anos até realizar. Valeu a pena.,positivo
300,Amei,positivo
301,Por isso amo a azul,positivo
303,"Quee legal, parabéns aos pais por realizar o sonho da menina, parabéns a Azul por proporcionar estes momentos a bordo, e parabéns á Júlia pelo aniversário e pelo sonho realizado! 👏👏👏",positivo
304,👏👏👏👏👏👏❤️que lindo,positivo
305, O sonho era da Julia... 👍🏾,positivo
306,Eu choreiii junto c a Júlia de tanta emoção 💖💓 Parabéns Júlia 👏👏👏👏 aproveite a Disney! Vc vai amar!!! Lá é realmente um sonho!,positivo
307,"Me emocionei,  pq achei que tava indo pra Disney e acabei indo pro Beto Carreiro😂😂😂",positivo
308,"Parabéns pra Júlia ! Aproveite . Tive oportunidade em ir em 2023. Mas o lugar que mais mexeu comigo a NASA. Cresci vendo o onibus espacial sendo enviados para as missões e um dia , que nunca passou pela mente ter a oportunidade de fazer uma viagem desse porte e estar frente a frente com ele foi demais.",positivo
309,Sensacional! Parabéns a azul!!,positivo
311,😍Aí que lindo ..chorei também...❤️ parabéns pai e mãe...👏,positivo
312, 😂,positivo
313,👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽👏🏽,positivo
314, ❤️❤️ meu tmb,positivo
315,😂😂😂😂,positivo
316,"Que coisa lindaaa, emocionante surpresa, sonho, amor, voar para realizar sonho da lindeza,  Papi Mamãe parabéns pelo feito. Deus abençoe Júlia 🙌",positivo
317,Que lindo ❤️❤️ Deus abençoe,positivo
318,"Poxa galera! Na moral! Se alegrem com a realização dos sonhos dos outros e lutem para conquistar os de vocês! Apreciem, vivam e não emitem opiniões nos sonhos alheiros!",positivo
320,😍😍,positivo
321,Que linda!! 😢😍,positivo
322,Linda homenagem! Mas será que o vôo decolou mesmo? Azul voando para o exterior...,positivo
324,QUE FOFAAAA,positivo
326,🥹,positivo
327,Finalmente a Azul fazendo algo certo…,positivo
328,Ah😍❤️,positivo
329, 😂😂,positivo
330,Parabéns a Família da Júlia que proporcionou esse momento mágico e a ela que esta levando a Camisa Rubro-negra que só se veste por amor! ,positivo
331,Onde é que clica pra curtir mil vezes?,positivo
332,Que atitude legal 👏,positivo
333,Q legal!!!! Parabéns 😢😢,positivo
334, mas é a Julia que sonhou!,positivo
335, realizando sonhos! 🩷,positivo
336, uma fofura né? 🥹🩷,positivo
337,❤️❤️❤️❤️,positivo
338,👏👏👏😍,positivo
339,👏👏👏👏👏👏👏👏👏👏👏,positivo
340,❤️❤️❤️❤️❤️❤️❤️,positivo
341,"Parabéns Julia, divirta-se  e q seus sonhos se realizem sempre 🙌👏",positivo
343,"A memória afetiva mais linda que ela terá. Nao pelo lugar que esta indo. Mas por ter sido surpreendida pelos pais e pela dedicação da Azul em tornar essa experiência mais fantástica ainda! Parabéns a esses pais,a Julia deve ser uma menina que merece muito. Parabéns  a Azul pela gentileza. Por isso amo essa cia. ",positivo
344,Princesa ela verá la. Ela é rainha!,positivo
345,Os dois lugares sao maravilhosos amigo!,positivo
348,😭😭😭💙💙💙,positivo
350,"Parabéns,  Júlia! 👏👏👏👏",positivo
352,🥹🩷,positivo
353,Azul sempre azul 👏👏👏,positivo
354,Parabéns vida feita de supresas,positivo
356,Júlia jamais esquecerá esse dia e amará ainda mais os pais.😍😍,positivo
357,🥹🥹🥹❤️❤️❤️ e eu chorando aqui tb,positivo
359,Parabéns   e aos pais pela confiança. Valeu Júlia tô chorando até agora 🥲,positivo
360,"Parabéns Ju, enjoy",positivo
361,"Júlia, muitas bênçãos e felicidades pra você!❤️❤️❤️❤️❤️",positivo
362,👏👏👏👏👏 🔝 🔝,positivo
363,Chorando com ela aqui ❤️❤️,positivo
365, emocionante😍,positivo
366,Aiiii meu coração se  enche de orgulho com profissionais como você  ❤️❤️❤️,positivo
367,"Aiii meu coração, emocionante!!",positivo
368,Azul 💙🛫,positivo
370,🥹🥹,positivo
371,😍😍😍,positivo
372,😍😍😍😍,positivo
373,Simplesmente Azul 💙🩵👏👏👏👏👏,positivo
374,😍😍😍👏👏👏,positivo
376,Nordeste mil vezes melhor que a disney. Pena que não é isso que muitos pais burgueses ensinam pros filhos...,positivo
377,👏👏👏👏👏👏😍,positivo
378,Não existe presente melhor 🙏🏻! Parabéns aos papais da Júlia 👏👏👏,positivo
379,😍😍😍😍😍👏👏👏👏,positivo
381,❤️❤️,positivo
382,"Aí é uma história emocionante!  Quem filhos e ver uma coisa dessa, não tem como não se emocionar!  Parabéns aos pais, aos funcionários da Azul Linhas Aéreas e também pra Júlia.",positivo
383,Q tenham experiências fantásticas,positivo
384,Que lindo!! Parabéns aos pais e à Júlia! 👏👏🙌,positivo
386,😢 👏👏👏👏,positivo
387,"Parabéns aos pais, possivelmente nem imaginem de onde tiraram a guria. Parabéns!!!!",positivo
389,E mais algumas pessoas...eu sou uma delas...,positivo
391,"Já fiz isso com uma moça. O marido e os amigos do casal falaram que estavam levando ela para SP e ela estava indo pra Maceió. Conseguimos segurar a surpresa até o meio do voo .. toda hora ela perguntava pq estava demorando tanto e a gente falando que estava fazendo orbita... No meio do voo, depois do serviço de bordo, contamos. Foi muito lindo, até eu chorei",positivo
392,👏👏🇧🇷🇺🇸👏👏,positivo
400,Foi o q pensei 👍,positivo
411,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,positivo
433," é um Embraer, provavelmente indo até Viracopos pra pegar o voo internacional",positivo
452, sempre combatendo os exageros de ambas as partes. Muito bem explicado e em ráidas palavras. Obrigado.👏👏👏,positivo
456,👏👏👏 excelente 👏,positivo
458,JUSTO.... SE COBRA PELO TAXIAMENTO TEM QUE DAR A DEVIDA SEGURANÇA DO VOO.,positivo
459,"BEM VINDA DE VOLTA, VASP !!!",positivo
460," vou bem fazer pra vc, coisa linda! 😂😂😂",positivo
461,Excelente notícia!,positivo
462,"Excelente ideia , desde que seja o governo Lula! Por que se for esse",positivo
465,"👏👏👏👏👏🫡🫡🫡🫡 precisam fazer mais estas comemorações, e muito importante para a nossa história,  e fortalecer a nossa pátria 👏",positivo
466,"Parabens a FAB, defensora da nossa constituicao, bem como de nossa soberania.",positivo
467,"Muito honrado em receber tamanha distinção pela medalha,  Um dia inesquecível pra quem tem esse azul correndo nas veias, como eu.",positivo
468, 👏👏👏👏👏👏👏👏 disse tudo,positivo
469,Ótimo.,positivo
471,Força Camila.  Deus te dê doeca oara se recuperar fisicamente e mentalidade. É  muito triste  que as pessoas  cheguem a este ponto. 🔥,positivo
472," eu tb fui. Mas eu tinha excelentes supervisores na GOL, que nos davam muito respaldo! Mas claro que isso foi em 2007/2008... Eram outros tempos da aviação",positivo
473,Eu da Avianca Brasil em CGH 2012/13. Foi boa a experiência porém você sabe o dia-a-dia que não era fácil.,positivo
474,Força guerreira! Bota o valentão na jaula que lá tem bastante animal como ele pra se espancar até,positivo
475,Que ela se recupere bem. Um absurdo a agressão em pleno exercício do seu trabalho.,positivo
476,Vassssp voo… eu adorava. Descanse em paz,positivo
477,"😢 Marcou muito sua voz nos corredores do Aeroporto internacional do Galeão .
Inesquecível e inigualável. 
Fora sua carreira na TV como jornalista.
Meus sentimentos aos familiares.",positivo
478, Era uma voz muito bonita no aeroporto de Belém.,positivo
479, Eu lembro demais. Voz muito bonita.,positivo
480,Feliz o homem que que coloca esta potente máquina nos céus é tudo de bom em operação navegabilidade e estabilidade de vôo incomparável. Parabéns EMBRAER !,positivo
481,"Top d mais, sou muito grato a Deus por fazer parte desse projeto. Eu pintei esse avião 🙌🙌🙌",positivo
482,Excelente notícia 👏🏾 👏🏾 👏🏾 👏🏾,positivo
483,"Faz sentido ela devolver o E1, pois é uma aeronave menos vantajosa em relação aos jatos E2 que ela também possui na sua frota. O E2 chega a ser 25% mais eficiente em termos de custo por assento comparado ao E1.",positivo
485," nao sei, mas sou comissária e ate onde sei a Latam paga mais se somar as horas de voo , bem mais.",positivo
486,Se ta na Internet é verdade! 😂😂,positivo
487, depende da área.  dizem que pra mecânicos e pessoal de “escritório” paga bem…,positivo
488, muiiiiito bem,positivo
490,"Se tá na internet, pode confiar. 😍🛜",positivo
494,Muito bem!! Temos que honrar essas memórias! Uma peça dessa deve ser mantida com todo cuidado.,positivo
495,Voei Muito esse avião! Saudades dos Bons tempos ❤️,positivo
496,"Que blza, que magico deve ter sido pra ti, assim como.foi pra mim, pois eu fui tripulante desra empresa, e voei muito nesra aeronave para Manaus e Fortaleza. Que na verdade eram 03 aeronaves, PT TAA, TAB e o TAC. abs",positivo
497,UAU........ !!!!!!!!!!!!! PARABÉNS  A TODOS  QUE ESTÃO NA RECUPERAÇÃO DA AERONAVE ;  QUE TRABALHEI MUITO NO ABASTECIMENTO DE CARGAS E BAGAGENS NO GALEÃO... SAUDADES..,positivo
498,Merece! A paisagem ficará muito melhor ao passar por lá. 👏🏻👏🏻👏🏻✈️,positivo
499,Um dia eu entrei nesta aeronave. Fazia voos em terra no aeroporto de Gru. 1996 aprendi muito nesta cia aérea. Transbrasil minha história na aviacao começou ai ❤️,positivo
500,Poxa bom serviço em 👏👏👏,positivo
501,"Parabéns Julia!! 🥳🎈
Uma outra comissária da Azul aqui com o olho cheio d’água!!
Boa viagem e aproveita!!",positivo
502,"😍😍parabéns 👏👏👏, na próxima ela vem pra cá pro nordeste.",positivo
503," quando fui a Europa era um 787, avião fantástico com ar condicionado e nível de ruído muito superior aos vôos domésticos",positivo
504,"A emoção dessa princesa, me fez chorar. Deus abençoe você e sua família Júlia🙏🏻Tenha uma viagem linda.💝",positivo
506,Que lindoooo vídeo. .Parabéns. Sucesso e ótima viagem. Emocionante,positivo
507,Que surpresa linda e parabéns as comissárias que foram super fofas !! Mandou Mto bem com esse time top hein ,positivo
508,Fiquei tão emocionada...❤️ demais passageiros uma frieza só.. 😢,positivo
509,Atendimento. É isso!,positivo
510,"Incrível, talvez em sua infância não tiveram a oportunidade. Parabéns pelo gesto, ela nunca esquecerá!",positivo
511,Que baita surpresa maravilhosa  eu ia chorar feotp criança  tb😂,positivo
512,"Ela realmente desejava esse sonho, só pelo fato de se emocionar e sentir essa gratidão a gente sente o quão importante era pra ela esse sonho. E é muito bom e confortante poder assistir a felicidade de outras pessoas❤️",positivo
