,comentario,sentimento
80,"Ue, gente?! O acesso à justiça é um direito do cidadão. Se ele considera que teve um dano e decide processar a cia buscando reparação desse dano, é um direito dele (e se a justiça considerar que não faz sentido e ele perder a causa, pagará as custas e tá tudo certo), caso contrario cabe a ela reparar o dano alegado. É o risco do negócio dela (e o custo está embutido no preço pago por todos nós). Agora numa situação oposta, se por motivos adversos à minha vontade eu me atrasar para um voo? Vcs sabem muito bem quem irá arcar com custos altíssimos por um no-show. Eu ja passei por muitos atrasos, inclusive perdendo voos subsequentes que não eram da mesma reserva… nunca me senti prejudicado a ponto de abrir uma demanda judicial pra isso, mas se algum dia acontecer de me sentir lesado, processo sem dó!",
81,"A publicação que disse que a indenização de 9 mil é certa é tão irresponsável quanto esta. A quantidade elevada de processo por si só não quer dizer que eles são procedentes. Além disso, o atraso ou cancelamento não gera uma obrigação de indenização automática, mas acontecendo uma situação dessa e as companhias não atendendo de maneira adequada, com as ações previstas pela Anac , pode sim gerar a indenização.",
82," o consumidor pagou para ser transportado e ele só quer isso. A responsabilidade por uma pane na aeronave não é dele rs a cia tem estoque de aeronaves paradas para substituir?  Claro que não, isso é inviável! mas dê o mínimo de suporte ao consumidor que já está prejudicado. (E parem de passar pano p cia aérea, fica parecendo que estão revendendo algum tipo de patrocínio pra fazer essa campanha - está bem chato)",
83,"Claro, aí processando o valor da passagem diminui!",
84," hora de vc ficar quieto, assim será um poeta 👌🏻",
85,Mais cabide de emprego chegam.,
86,"O INSS é um exemplo,os correios também,o certo é vender todas.",
87,Estatal - Nordeste - Governo (já sabem o que vai dar né?),
88, até eu vou contribuir com os kkkkkkkkkkkkkkkkkkkkkkkkkk,
89,Privatizar e reduzir o peso dos impostos ⛔  criar mais estatais para dar emprego para a companheirada? ✅,
90,"Ja sei, A Janja Canja vai ser a presidenta da estatal. Uma otima ideia pra movimentar eleitor nordestino com precinhos companheiros. Otima ideia. Governo só dá dentro.",
91, CPI Airlines kkkkkkk,
92,"Para atender bolsos regionais, isso sim.",
93,VASP mandou lembranças e correios também,
94, leu meus pensamentos.,
95,que comece o controle de quem vai e vem....,
96,Cuba brasileira,
97,Quando a piada já vem pronta,
98,"Empresas aéreas privadas, com boa governança, quadro enxuto andam no vermelho, fazendo malabarismo pra ser sustentável. Agora imagina uma estatal aérea na mão de governos, e o mais agravante governo de esquerda. Tinha é que privatizar ou extinguir a maioria das estatais!",
99,Mais um pra virar cabide de emprego.,
100,Bienvenidos a Venezuela,
101,eu conto para os tripulantes sobre a SEST ou deixo eles descobrirem sozinhos?,
102,"Reduzir os impostos da Azul, Gol, e Latam seria uma boa! Assim elas teriam mais dinheiro em caixa para ampliar a malha até os Aeroportos menores! Outro problema é que se abrirem uma estatal, vão criar mais concorrência para as companhias existentes!",
103,Aí que começa os lobby. Acabaram com as estatal agora vão criar de novo. É fácil administração da Elen presa aérea. Único jeito de começar bilionário e terminar milionário e a empresa de linha aérea no Brasil 🇧🇷. Vive de Consecao e verbas governamentais. Até dar prejuízo e a gente pagar outra conta. Isso é o populismo,
104, fica fácil de se resolver com dinheiro público,
105,Mais uma propinada aérea,
106,Mais uma fonte de “recursos” para os políticos!!!!!,
107,Do jeito que a coisa vai só assim pra suprir a demanda.,
108, Não é o governo federal. Sim dos municípios atendidos. A aviação é desenvolvimento que seja do interesse do Prefeito/Governador. Tirar o ICMS do QAv já seria um começo.,
109,"Com realidade que vivemos uma iniciativa dessa até teria pontos positivos. Mas, a realidade brasileira não deixa dúvidas de que será um antro de privilégios p grupos políticos e um ralo aberto p jorrar o dh dos pagadores de impostos, nosso dh.",
110, Vá fazer pix pra zambeli,
111, então bom deve ter sido são paulo que entregou a Sabesp para os amigos do rei,
112,🇻🇪🇻🇪🇻🇪🇻🇪,
113,"Criar uma aérea não, mas sou super a favor que o governo subsidie rotas não-rentáveis em regiões isoladas! Voei com a companhia aérea Wilderoe na Noruega e fiquei impressionado com a oferta de voos - extremamente importante pra comunidades isoladas de lá. Imagina no Brasil, que é bem maior!",
114,"É NOSSA HISTÓRIA ! Não pode, de maneira nenhuma, deixar a sociedade brasileira desconhecida de tal fato. 
A cobra segue fumando 🐍🇧🇷
Esses foram e sempre serão nossos verdadeiros HERÓIS! 🔥",
115," eu entrei na época direto pela Avianca, eu iria fazer o curso de agente porém não me recomendaram porque cada cia tem sua cultura e padrão fora os cursos que você faz internamente e pela Infraero.",
116,"Eu era agente em CGH pela Avianca e daí eu era muito comunicativo em diversos setores da empresa principalmente no D.O, fui até convidado para trabalhar lá mas não fui. Aprendi muito, fiz muitos cursos, com um ano de casa sabia mais que muitas colegas. Enfim, vivi bons tempos ali até no setor comercial no embarque de grupos, outro aprendizado. Levo e aplico a prevenção e Segurança lá aprendida.",
0,Agora tem que ser nacional tbm,neutro
35,"
Nada melhor do que ouvir quem entende do assunto! 👏👏",neutro
36, obg,neutro
498, não sabia! E faz sentido lá também,neutro
519,👏👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷,neutro
522,👏👏👏👏👏👏,neutro
523,🇧🇷,neutro
524,🇧🇷🇧🇷👏👏👏,neutro
525,👏👏🇧🇷🇧🇷,neutro
527,🇧🇷🇧🇷🇧🇷❤️❤️👏🏽👏🏽👏🏽,neutro
528,🙏🙏,neutro
679, exatamente isso.,neutro
683,Upp,neutro
706,Isso não se encaixa na lei Maria da penha.,neutro
727," posicionamento como sempre razão pro pax, não é novidade…",neutro
735," verdade, tem uns agentes que agem como se fossem os donos do aeroporto, do avião e etc.",neutro
736," não , mas vce tem que dar uma resolução ao paciente",neutro
742,Passa o ,neutro
744,"
FAÇAM ALGUMA COISA",neutro
765, muitas vezes ficam só mulheres no portão de embarque,neutro
766, eu pedi demissão ontem por conta disso e outras questões,neutro
813,"Latam: legal, amanhã segue a escala normal.",neutro
814," , qual a previsão para leis e normas que protejam agentes de aeroportos ?",neutro
832, Uma cadeira de rodas e uma folga no dia...,neutro
836, olhem por nós.,neutro
848, a ANAC.,neutro
854, Temos previsão de uma lei mais rígida para esse tipo de caso?,neutro
877, não entendi,neutro
879,😢😢😢,neutro
910,Mds,neutro
916,Qual o apoio que a  deu a Camila?,neutro
976,Até quando? ,neutro
1018,O que está acontecendo com as pessoas?,neutro
1062, exatamente,neutro
1216, De onde vc tirou isso?,neutro
1226,esse não é o número de Embraer s na frota da Azul?,neutro
1233,Agora volta Cnf/sdu 😍😍😍,neutro
1236," não , foi vc que vendeu 😂😂😂",neutro
1241,Eu já voei nesta aeronave há alguns anos,neutro
1257,Sim é um a320,neutro
1270, claro 😂,neutro
1277, Até a assinatura,neutro
1287,Deixa eu tomar um café e volto a ler aqui,neutro
1292,Se rendeu aos Airbus,neutro
1317, EXATAMENTE ISSO 👏🏻!!!,neutro
1328,não era 50?,neutro
1337,"Talvez para compra apenas, como é leasing",neutro
1342,WTF?,neutro
1370, Lamia,neutro
1388,  maior que a Europa,neutro
1389,Quem avaliou ? O Lito ?,neutro
1482, eu tb,neutro
1525,Eu nunca entendo como fazem essas escolhas,neutro
1544,Tá parecendo mesmo,neutro
1572,Irão deixar com as cores da Transbrasil?,neutro
1575,Só no Brasil mesmo gente.,neutro
1579,O áudio bugado kkkk,neutro
1587, Boeing 767,neutro
1589,Vão fazer o que com essa aeronave histórica?,neutro
1597,"Sem os motores, ou as carenagens",neutro
1599,"E ""espera um pouquinho"" umas 300...",neutro
1611, ainda existe o PT- TAA? Ele está aonde?  E em que estado ?,neutro
1612," A Original do Arco Iria , deveria mesmo ser essa pintura",neutro
1618, olha aí vc,neutro
1619,Vai voar mesmo?,neutro
1627,Inicialmente suas asas e matrícula eram pintadas de verde.,neutro
1630,Tomara que seja água de re uso,neutro
1636,Tem certeza disso?,neutro
1637,Se precisar de ajuda para dar um banho nesse lindao eu estou aqui🙋‍♂️🤩😂,neutro
1645, gostaria de ver ele por dentro.,neutro
1648, ..olha,neutro
1659,Deve ser por isso q ela chorou 😂😂😂,neutro
1666,Foi o q pensei 👍,neutro
1667, Voo vê conexões . Voo para Disney dão de Recife ou Campinas,neutro
1670, é sobre o sonho da Júlia 😍,neutro
1673, mas o portão de embarque diz para onde o avião vai,neutro
1674,Que eu possa fazer isso para minha filha um dia 😍,neutro
1676,Júlia chorou e eu tbm ❤️❤️,neutro
1678,Prefiro Miami,neutro
1685, triste é limitar sonhos ou achar que não vale a pena.,neutro
1686, ainda tem muita coisa grátis no mundo. Uma delas é entender e respeitar sonhos alheios.,neutro
1687, mas sempre levam sonhos,neutro
1689, mas estará voltando com a realidade. Deixou de ser sonho. Só boas recordações.,neutro
1691," acorda, cara. Ninguém criticou o sonho de ninguém!!!",neutro
1692,Mas eu quero ir pra Bahia 😂😂😂😂😂😂😂,neutro
1693,"A diferença que se fosse o pessoal que vai para o nordeste nesse anúncio, seria uma festa nesse avião, ,a maioria ficou frio em relação ao que estava acontecendo",neutro
1694," Toda criança que um dia ouviu falar ou viu algo da Disney, sonha em um dia ir lá, mas talvez ela soubesse que os pais não poderiam proporcionar isso a ela, então teve um sonho mais modesto (apesar de que muitas vezes viajar para o exterior seja mais barato que aqui dentro do país).",neutro
1699,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,neutro
1700,Prefiro o Sul 😂,neutro
1702,"E eu esperando todos baterem palma, então",neutro
1705,Caiu 10 ciscos em meus olhos 😢😢😢😢😢,neutro
1715,  corre aqui 😍,neutro
1721,"Poxa sinto muito … ser mãe as vezes tem dessas coisas , n consigo imaginar o qto deve ser difícil , eu acho que não suportaria ,viver sem falar com meu filho que tanto amo .",neutro
1729," a gol vai começar a cobrar bagagem de mão, é mole?",neutro
1730,"Achei estranho o tamanho do avião para vôo internacional,.mas talvez seja uma escala",neutro
1732," é um Embraer, provavelmente indo até Viracopos pra pegar o voo internacional",neutro
1737, vc mas a Julia quer a Disney,neutro
1738," o sonho não é seu, é dela!",neutro
1760, ninguém liga,neutro
1766,E eu,neutro
1767," eu TB e minhas filhas, mas cada um tem seu seu sonho né 😍",neutro
1788,Coisa linda!!,neutro
1796,ta eu e a Júlia chorando aqui,neutro
1798,Agora tá todo mundo chorando😂,neutro
1799,Chorei junto,neutro
1804,"Pessoal meu aniversário é em dezembro, estou aceitando esse presente 🎁 😂😂😂.",neutro
1808,Prefiro nordeste,neutro
1810,"Você , Júlia e eu kkkkk😂😂",neutro
1820,E eu! 😂,neutro
1822,Eu chorando junto 😍,neutro
1825,Quanto cobraram?,neutro
1853, não sou infantil mas sonhei por 49 anos até realizar. Valeu a pena.,neutro
1866,Ela queria mesmo é ir pro nordeste! MM que se lasque!,neutro
1873, O sonho era da Julia... 👍🏾,neutro
1883, ❤️❤️ meu tmb,neutro
1904,Onde é que clica pra curtir mil vezes?,neutro
1909, mas é a Julia que sonhou!,neutro
1912, realizando sonhos! 🩷,neutro
1921,Pow ademir... cortando cebola a essa hora não dá né... 🥲🥲🥲🥲🥲🥲🥲,neutro
1925,Os dois lugares sao maravilhosos amigo!,neutro
9071,39 milhas nauticas não kmh,neutro
9078, e o barulho??,neutro
9082, sim temos muitos bons profissionais no Brasil. Algumas medidas do governo americano vem mexendo na estrutura do sistema éreo americano. Em breve teremos mais problemas se as coisas não melhorarem. E se tratando de acidente aqui no Brasil tivemos a dois anos atrás um caso com uma viatura do aeroporto. Só pesquisar acidente do avião da Gol com viatura em pista de aeroporto.,neutro
9085,"Acho que é de bicicleta, tava tentando entrar para a Red Bull.",neutro
9089,Título correto é.  MOMENTO QUE O CAMINHÃO  ATINGE A AERONAVE,neutro
9098, o avião estava a mais de 200 km/h.,neutro
9104, *taxiando,neutro
9105,Foi a 104 mph.,neutro
9114,So se for a velocidade do carro..,neutro
9146,"Vi um relatório, 112 nós. Uns 200 km h",neutro
9147,Aéreo,neutro
9153," seriam cerca de 72 km/h, certo? Teoricamente, mais condizente com as imagens do vídeo...",neutro
9154," irmão independente, se você é e operador de uma máquina, operador de um equipamento, você tem responsabilidade sobre terceiros, se você pesquisar direitinho você vai ver isso aí, então ele é responsável sim, e se teve óbitos eles tem que responder. Pesquisa você aí",neutro
9178,Os controladores tavam fazendo o que mesmo nessa hora.,neutro
9179,"É igual atravessar a rua , agente olha para os dois lados ↔️....",neutro
9186," ele falou sim pra ele sair da pista, mas depois que ele já tinha autorizado",neutro
9193, justamente,neutro
9196,Importante que se fale sobre a carga horária desses controladores e do sucateamento da FAA,neutro
9197, mais uma vez esse tipo de acidentes com veículos de solo...,neutro
9198,"Parecido com o acidente da Latam e da Gol, a diferença é que esse foi no pouso em vez da decolagem",neutro
9214,Incursão em pista😢,neutro
9215,Aeronave estava só a 39km por hora..?,neutro
9219,"Provavelmente foi 39 knots. Jornalismo, já sabe né…",neutro
9221,"Motorista do caminhão mesmo autorizado podia ter freado , dava pra ver pô",neutro
9230, você é do NTSB?,neutro
9232,Tava mais de 100km/h falou que estava 40,neutro
9241, Fiz a mesma pergunta.,neutro
9244,  aaereabrasileira,neutro
15,Aqui na Base Aérea de Recife tem um avião desse.,neutro
16,Essas imagens devem ser divulgadas em toda a mídia!,neutro
33,"Interessante que não vemos um praça que dá o sangue pela força receber uma medalha ,sempre assim quem fica com as glórias são o alto escalão.",neutro
50,poderia haver em todo o país durante o ano ou um stream desse momento,neutro
67,Poderia haver em todo o país durante o ano ou um stream desse momento,neutro
131," ✈️ O agente de aeroporto é peça fundamental para que o voo aconteça com segurança.
Mesmo assim, seguimos sendo agredidos, desrespeitados e sem nenhuma lei que nos ampare.
📣 Isso precisa mudar!
Queremos respeito, proteção e justiça.
Não é só um trabalho, é responsabilidade com vidas!
#RespeitoNoAeroporto #AgenteDeAeroporto #SegurançaJá #ChegaDeAgressão #justiçaparaoscolaboradores",neutro
138,"Gente desculpa a ignorância.

Mas aí no Brasil vocês não podem chamar a polícia do aeroporto ? 

Na empresa que eu trabalho aqui na Europa, a gente não bate boca com pax não, gritou, saiu do limite eu tô solicitando a polícia … e tô nem aí. 

Coloco pra fora do avião com a polícia, e já vi várias vezes os agentes de aeroporto fazendo o mesmo.",neutro
176,R.I.P.,neutro
182,Vi o pouso dele no  Aeroporto Campo de Marte não usou 1/3 da pista,neutro
194,po,neutro
195,Provavelmente todos pro chile,neutro
200," de início, virão pro Brasil. E não duvido da maioria vir pra cá. O Chile não tem mercado do tamanho do Brasil. E além de Brasil e Chile, tem as outras empresas do grupo tb.",neutro
207, tá no texto que serão para o Brasil,neutro
210,Poxa já era hora de comprar aviões da Embraer,neutro
211, pelo menos os primeiros serão para operar no Brasil.,neutro
214,"Com a compra dos novos aviões da Embraer será que vão melhorar a malha aérea da Latam no Rio de Janeiro? 
Hoje a presença da Latam no Rio se restringe quase apenas a ponte aérea.",neutro
216,"Poxa ,a azul já foi considerada a melhor companhia nacional",neutro
231,"Papai era mecânico avionico na época, 17 anos dedicados a TBA que na época eu voei nas cores antigas, no auge da aviação comercial no Brasil, Varig , Vasp, TAM...só comida de verdade, bebidas importadas, destilados a bordo, um certo requinte não tão luxuoso porém para a classe comercial era top. Até hoje processo trabalhista corre na justiça desde 2001.",neutro
249," Exatamente isso meu querido,  e tinha o 927 // 926 correios noturno.  Gru. Gig. For. Mao.  Voltava como Mao. Gru. Gig. For.. abração.",neutro
250,Ao invés de apodrecerem nos patios esse incentivo com certeza empregaria e desenvolveria muitos talentos e uma aeronave com vida.,neutro
251,"por favor, mantenham a pintura original da transbrasil 😢 não botem outra",neutro
262,Precisa ser presepada tanto o avião como a história de Omar Fontana,neutro
273," Sim, eles estavam abandonados em uma área remota em Brasília. Eram 3, PT-TAA, PT-TAB e PT-TAC. Junto a eles também tinham 3 737-200 da VASP e um F-27 da TAVAJ",neutro
277,"Nunca voei nesse mas tive a honra de voar no PT-TAB em 1998 rumo à São Paulo e só soube que o prefixo era esse porque anos depois, vi na internet um 767-200 da Tranbrasil de asas na cor laranja com esse prefixo e aí liguei os pontos: Eu estava de fato em um 767-200 dessa companhia e fiquei na poltrona onde da janela vi aquela enorme asa laranja... eu tinha 18 anos na época e hoje estou com 45.",neutro
